City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
491,Araouane,ML,84.65,broken clouds,18.9048,-3.5265,
492,Mango,US,79.86,overcast clouds,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
494,Cockburn Town,TC,82.35,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
495,Chacabuco,AR,86.85,clear sky,-34.6417,-60.4739,Club de Pesca Caza y Balneario
497,Adrar,MR,78.57,broken clouds,20.5022,-10.0711,
500,Ocos,GT,87.98,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
501,Half Moon Bay,US,81.14,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
502,Maceio,BR,81.84,clear sky,-9.6658,-35.7353,Poutur Pousada
506,Sinnamary,GF,80.98,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
508,Cantagallo,CO,78.84,overcast clouds,7.376,-73.9196,Apartahotel Altamira
511,Nanakuli,US,84.04,few clouds,21.3906,-158.1547,Camp Pālehua
512,Pontianak,ID,75.18,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
514,Rodrigues Alves,BR,77.2,overcast clouds,-7.738,-72.6509,Pousada Aconchego
520,Salinopolis,BR,79.7,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
524,Limbe,CM,79.65,moderate rain,4.0242,9.2149,The LK Hotel at Bonadikombo
526,Baculin,PH,77.5,scattered clouds,7.4525,126.5842,Baculin Cove Beach Resort
534,Mumford,GH,79.45,light rain,5.2618,-0.759,Spanish Villa
535,Kalmunai,LK,79.34,overcast clouds,7.4167,81.8167,VS Villa
536,Weligama,LK,76.69,broken clouds,5.9667,80.4167,Weligama Bay Resort
539,Sola,VU,84.87,scattered clouds,-13.8833,167.55,Leumerus Bungalows
544,Ratchaburi,TH,78.22,few clouds,13.5833,99.5333,บ้านสวนภูมิพัฒน์ ราชบุรี
546,Manokwari,ID,78.75,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
547,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
550,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
552,Luanda,AO,77.65,overcast clouds,-8.8368,13.2343,Hotel Fórum
554,Gamba,GA,76.89,light rain,-2.65,10.0,
556,Beinamar,TD,77.16,overcast clouds,8.6698,15.3813,
567,Muli,MV,82.2,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
570,Canon City,US,76.03,clear sky,38.441,-105.2424,Travel Inn Motel
572,Mana,GF,79.81,overcast clouds,5.6592,-53.7767,LE SAMANA
577,Pemba,MZ,77.7,broken clouds,-12.974,40.5178,Guesthouse Samotina
581,Tamiahua,MX,80.29,scattered clouds,21.2667,-97.45,Mission Of The Sun Hotel
582,Pandan Niog,PH,83.35,scattered clouds,6.2282,120.5631,
583,Bowen,AU,75.42,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
587,Moindou,NC,75.15,few clouds,-21.6924,165.677,Gite de la RYAWA
590,Sulangan,PH,82.22,overcast clouds,11.1373,123.7228,Maia's Beach Resort
592,Paracatu,BR,81.86,scattered clouds,-17.2222,-46.8747,Hotel Paracatu Plaza
596,Palmeirais,BR,85.32,overcast clouds,-5.9778,-43.0633,Pousada LS
597,Necochea,AR,86.04,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
598,Macau,MO,76.73,scattered clouds,22.2006,113.5461,Grand Emperor Hotel
601,Bongaree,AU,78.15,overcast clouds,-27.0797,153.1586,The Gums Anchorage
602,Aswan,EG,83.03,scattered clouds,24.0934,32.907,Nuba Nile
604,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
